TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
1515627439546,152.375,72,64
-1,156.75,539,64
-1,160,1,56
-1,163.1875,1,32
-1,166.8125,4408,24
-1,170.0625,524,32
-1,173.6875,504,64
-1,176.875,493,64
-1,180.125,491,64
-1,183.375,492,48
-1,186.625,461,48
-1,190.25,236,80
-1,193.5,230,80
-1,197.0625,231,80
-1,200.3125,231,80
-1,203.5625,241,88
-1,206.8125,8572,24
-1,210.0625,1,24
-1,213.3125,599,56
-1,216.875,598,40
-1,220.5,644,40
-1,224.125,1,40
-1,227.375,537,40
-1,230.625,564,48
-1,233.8125,555,40
-1,237.4375,535,40
-1,240.6875,123,64
-1,244.3125,113,72
-1,247.875,113,80
-1,251.125,111,72
-1,254.75,1,32
-1,258,292,48
-1,261.5625,472,48
-1,265.1875,485,72
-1,268.4375,501,72
-1,271.6875,113,64
-1,275.3125,108,88
-1,278.5,111,80
-1,282.125,109,80
-1,285.375,105,80
-1,289,115,72
-1,292.25,1,32
-1,295.4375,1,56
-1,299.0625,540,40
-1,302.3125,572,64
-1,305.5625,272,32
-1,309.1875,322,48
-1,312.75,1,32
-1,316,356,64
-1,319.25,1,40
-1,322.5,1,48
-1,325.75,1,24
-1,329.3125,88,56
-1,332.5625,63,72
-1,336.1875,62,72
-1,339.4375,69,72
-1,343.0625,66,80
-1,346.25,61,72
-1,349.875,64,80
-1,353.5,62,80
-1,356.75,64,80
1515627439588,1.0625,59,80
-1,4.3125,61,80
-1,7.5625,61,80
-1,10.75,65,80
-1,14,62,80
-1,17.625,67,72
-1,20.875,64,80
-1,24.5,68,72
-1,27.6875,76,80
-1,30.9375,260,56
-1,34.1875,254,56
-1,37.8125,1,48
-1,41.0625,219,56
-1,44.625,257,80
-1,48.25,253,72
-1,51.5,252,48
-1,55.125,493,48
-1,58.375,426,56
-1,61.9375,410,80
-1,65.1875,396,72
-1,68.8125,388,72
-1,72.0625,385,72
-1,75.3125,380,80
-1,78.5,378,64
-1,82.125,370,64
-1,85.375,371,72
-1,88.625,1,32
-1,92.25,132,72
-1,95.4375,150,48
-1,98.6875,365,40
-1,101.9375,373,56
-1,105.5625,378,56
-1,108.8125,1,32
-1,112.0625,205,80
-1,115.625,194,32
-1,118.875,1,32
-1,122.125,100,64
-1,125.75,89,80
-1,129,82,80
-1,132.9375,83,80
-1,136.1875,89,88
-1,139.4375,92,96
-1,143.0625,105,88
-1,146.25,102,48
-1,149.875,1,40
-1,153.8125,79,80
-1,157.0625,1,40
-1,160.6875,1,56
-1,163.9375,1,24
-1,167.5625,1,48
-1,170.75,532,48
-1,174.375,491,64
-1,177.625,498,72
-1,180.875,494,48
-1,184.5,479,40
-1,187.6875,472,56
-1,190.9375,236,88
-1,194.1875,229,88
-1,197.8125,230,88
-1,201.4375,232,88
-1,204.625,241,64
-1,208.25,1,16
-1,211.5,1,40
-1,215.125,614,56
-1,218.375,1,40
-1,221.9375,665,40
-1,225.1875,1,48
-1,228.4375,550,64
-1,231.6875,1,16
-1,235.3125,549,64
-1,238.5,554,40
-1,242.125,116,72
-1,245.75,112,72
-1,249,112,72
-1,252.25,111,56
-1,255.4375,259,40
-1,258.6875,303,40
-1,262.3125,482,48
-1,265.9375,486,72
-1,269.1875,498,40
-1,272.375,106,72
-1,276,105,72
-1,279.25,101,80
-1,282.875,113,80
-1,286.4375,107,72
-1,290.0625,101,72
-1,293.3125,1,32
-1,296.5625,142,64
-1,300.125,558,40
-1,303.375,571,56
-1,306.625,322,40
-1,309.875,326,56
-1,313.125,1,40
-1,316.375,364,40
-1,319.625,1,32
-1,323.1875,753,48
-1,326.4375,1,32
-1,330.0625,61,48
-1,333.6875,68,72
-1,337.25,70,72
-1,340.5,67,80
-1,344.125,65,72
-1,347.375,64,80
-1,350.9375,63,80
-1,354.1875,62,80
-1,357.8125,65,80
1515627439687,1.75,64,80
-1,5.375,56,80
-1,8.625,64,72
-1,11.875,62,72
-1,15.125,60,72
-1,18.375,67,80
-1,21.9375,70,72
-1,25.1875,71,72
-1,28.8125,67,72
-1,32.0625,236,48
-1,35.625,240,40
-1,38.875,1,56
-1,42.125,235,80
-1,45.75,262,64
-1,49,249,72
-1,52.25,407,40
-1,55.8125,469,48
-1,59.0625,458,64
-1,62.6875,412,72
-1,65.9375,398,64
-1,69.5,388,80
-1,73.125,378,72
-1,76.375,374,72
-1,79.625,367,72
-1,82.875,361,64
-1,86.4375,365,80
-1,90.4375,145,40
-1,93.6875,130,80
-1,97.25,188,24
-1,100.5,364,48
-1,104.125,380,40
-1,107.375,1,24
-1,110.25,1,32
-1,113.8125,180,88
-1,117.0625,1,24
-1,120.6875,1,24
-1,123.9375,97,88
-1,127.5625,80,80
-1,130.75,81,80
-1,134.75,86,80
-1,138,92,88
-1,141.25,101,88
-1,144.5,104,88
-1,147.6875,607,72
-1,151.6875,1,48
-1,155.3125,55,48
-1,158.5,1,24
-1,161.75,56,40
-1,165.375,1,24
-1,168.625,55,56
-1,172.25,528,48
-1,175.4375,470,56
-1,178.6875,483,56
-1,181.9375,482,40
-1,185.1875,467,48
-1,188.4375,328,72
-1,192.0625,235,80
-1,195.3125,230,88
-1,198.875,235,88
-1,202.5,238,80
-1,205.75,1,24
-1,209.3125,1,16
-1,212.5625,575,40
-1,216.1875,622,56
-1,219.4375,1,32
-1,223.0625,642,40
-1,226.25,552,40
-1,229.5,544,56
-1,232.75,1,48
-1,236.375,546,40
-1,239.625,116,40
-1,243.1875,113,72
-1,246.4375,112,80
-1,250.0625,118,72
-1,253.3125,710,32
-1,256.5625,257,40
-1,259.8125,414,48
-1,263.375,477,64
-1,267,497,72
-1,270.625,280,48
-1,273.8125,115,80
-1,277.4375,109,80
-1,280.6875,112,80
-1,284.3125,110,72
-1,287.875,113,72
-1,291.125,1,32
-1,294.375,1,64
-1,297.625,1,56
-1,301.25,557,40
-1,304.5,544,32
-1,307.6875,299,32
-1,310.9375,1,40
-1,314.5625,1,24
-1,317.8125,1,24
-1,321.4375,1,48
-1,324.625,1,48
-1,328.25,1,24
-1,331.875,70,80
-1,335.125,69,80
-1,338.375,65,72
-1,341.9375,63,80
-1,345.1875,63,80
-1,348.8125,62,80
-1,352.0625,62,80
-1,355.625,63,80
-1,358.875,61,80
1515627439788,3.1875,65,80
-1,6.4375,62,80
-1,10.0625,62,80
-1,13.3125,63,72
-1,16.875,68,72
-1,20.125,66,72
-1,23.75,67,80
-1,27,68,80
-1,30.25,154,56
-1,33.5,268,56
-1,37.0625,249,32
-1,40.3125,208,40
-1,44.3125,252,80
-1,47.875,254,80
-1,51.125,245,64
-1,54.75,492,56
-1,58,418,56
-1,61.5625,416,64
-1,64.8125,394,72
-1,68.4375,392,72
-1,71.6875,386,72
-1,74.9375,381,80
-1,78.5,373,72
-1,81.75,363,72
-1,85.375,365,80
-1,89,309,40
-1,92.25,139,72
-1,95.4375,146,56
-1,99.0625,371,56
-1,102.3125,369,40
-1,105.5625,376,56
-1,108.8125,410,48
-1,112.0625,1,24
-1,115.3125,196,56
-1,118.875,1,24
-1,122.125,98,48
-1,125.375,90,80
-1,128.625,81,80
-1,132.5625,84,80
-1,135.8125,87,88
-1,139.0625,94,88
-1,142.6875,103,88
-1,145.9375,113,48
-1,149.875,581,48
-1,153.5,85,80
-1,156.75,1,32
-1,160.3125,491,32
-1,163.5625,1,24
-1,166.8125,1,24
-1,170.0625,521,40
-1,173.6875,494,64
-1,176.875,490,64
-1,180.5,493,56
-1,183.75,487,40
-1,187,419,64
-1,190.625,239,88
-1,193.8125,230,80
-1,197.4375,233,88
-1,200.6875,234,80
-1,203.9375,238,80
-1,207.5625,1,24
-1,210.75,587,48
-1,214.375,611,64
-1,217.625,1,48
-1,221.5625,641,48
-1,225.1875,1,56
-1,228.4375,533,56
-1,232.0625,709,32
-1,235.3125,538,40
-1,238.875,529,40
-1,242.125,117,64
-1,245.75,114,80
-1,249,110,72
-1,252.25,108,56
-1,255.8125,240,32
-1,259.0625,324,72
-1,262.6875,490,56
-1,265.9375,487,72
-1,269.5,483,64
-1,272.75,109,72
-1,276.375,112,80
-1,279.625,109,80
-1,283.1875,111,72
-1,286.4375,113,72
-1,289.6875,108,64
-1,293.3125,129,40
-1,296.5625,1,48
-1,299.8125,554,40
-1,303.375,572,32
-1,306.625,308,32
-1,310.25,1,48
-1,313.8125,7996,24
-1,317.0625,1,24
-1,320.3125,1,40
-1,323.5625,745,32
-1,327.1875,1,40
-1,330.75,72,64
-1,334,68,72
-1,337.25,65,72
