TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
1515627565325,90.6875,83,191
-1,96.0625,79,183
-1,101.5,84,183
-1,106.875,83,191
-1,113,86,191
-1,118.0625,85,191
-1,126.3125,267,167
-1,151.1875,291,50
-1,176.375,393,65
-1,201.5625,364,50
-1,210.1875,168,191
-1,215.25,77,183
-1,220.625,71,183
-1,226.4375,75,191
-1,232.5,62,175
-1,239.375,79,175
-1,249.0625,59,175
-1,273.5625,462,60
-1,293.375,248,70
-1,298.4375,218,183
-1,322.875,529,40
-1,347.75,99,65
-1,352.75,110,183
1515627565402,16.875,182,45
-1,22.625,108,191
-1,27.6875,110,191
-1,52.5,595,40
-1,77.75,92,55
-1,82.75,83,183
-1,88.1875,80,183
-1,93.5625,78,183
-1,99,80,183
-1,104.375,82,183
-1,109.75,81,183
-1,115.5,83,183
-1,127.75,220,191
-1,152.25,284,45
-1,177.8125,393,55
-1,202.625,359,55
-1,211.3125,116,191
-1,216.3125,74,183
-1,222.4375,73,191
-1,227.5,66,183
-1,232.875,65,183
-1,240.0625,77,159
-1,249.0625,59,183
-1,272.5,464,55
-1,293,251,70
-1,298.4375,217,183
-1,323.25,531,35
-1,347.75,89,65
-1,352.75,107,183
1515627565496,18,1825,10
-1,23.375,109,183
-1,28.75,112,183
-1,54,596,45
-1,79.1875,83,60
-1,84.1875,80,191
-1,89.25,81,191
-1,94.3125,80,191
-1,99.6875,82,183
-1,105.0625,82,191
-1,110.5,83,183
-1,116.25,85,183
-1,128.125,245,191
-1,153,284,45
-1,178.1875,387,60
-1,192.9375,330,167
-1,217.75,117,65
-1,222.8125,71,183
-1,228.1875,68,183
-1,233.625,65,183
-1,240.8125,71,159
-1,258.4375,60,175
-1,275,460,84
-1,292.625,240,84
-1,297.6875,217,183
-1,322.875,518,30
-1,347.375,98,65
-1,352.4375,107,183
1515627565592,17.625,175,40
-1,23,107,191
-1,28.0625,109,191
-1,53.25,600,40
-1,78.4375,85,60
-1,83.5,80,183
-1,88.875,82,183
-1,94.3125,79,191
-1,99.6875,82,191
-1,105.0625,81,191
-1,111.5625,81,183
-1,116.625,84,183
-1,128.125,241,183
-1,152.625,280,50
-1,177.4375,394,60
-1,184.625,148,159
-1,190.75,372,183
-1,215.625,139,45
-1,220.625,74,183
-1,226.0625,71,191
-1,232.1875,59,167
-1,239,78,183
-1,247.625,56,183
-1,272.5,464,55
-1,280.75,437,159
-1,286.875,221,167
-1,291.5625,216,191
-1,296.625,214,183
-1,321.0625,381,40
-1,345.9375,87,55
-1,351,104,191
1515627565689,9.3125,422,167
-1,23,108,112
-1,28.0625,108,191
-1,52.5,592,40
-1,77.75,89,55
-1,82.75,83,183
-1,88.875,81,191
-1,93.9375,81,191
-1,99,80,191
-1,104.375,80,183
-1,109.75,83,191
-1,115.5,84,191
-1,127.4375,212,191
-1,152.25,276,50
-1,177.4375,381,60
-1,201.9375,362,55
-1,210.5625,142,191
-1,215.625,74,183
-1,220.625,74,191
-1,226.4375,71,191
-1,232.5,64,175
-1,239.375,80,175
-1,248.75,53,175
-1,273.5625,465,60
-1,293,246,70
-1,298.4375,216,183
-1,322.875,521,45
-1,347.75,94,65
-1,353.875,107,183
1515627565798,17.625,227,40
-1,23.375,108,183
-1,28.75,108,183
-1,54,594,40
-1,78.8125,94,65
-1,83.875,81,191
-1,89.625,80,183
-1,94.625,80,191
-1,100.0625,80,191
-1,105.4375,84,183
-1,111.5625,82,183
-1,116.625,87,183
-1,128.125,242,191
-1,153,286,50
-1,177.4375,390,55
-1,184.625,141,167
-1,190.75,369,167
-1,215.25,148,40
-1,220.3125,71,191
-1,226.0625,71,191
-1,231.4375,61,167
-1,237.9375,80,183
-1,244.0625,68,167
-1,265.3125,544,159
-1,271.0625,458,175
-1,278.625,434,159
-1,286.875,246,159
-1,291.9375,213,183
-1,297,213,183
-1,322.1875,1,50
-1,346.625,96,55
-1,351.6875,102,191
1515627565894,16.875,215,40
-1,22.625,103,191
-1,27.6875,105,191
-1,52.875,599,35
-1,78.0625,88,55
-1,83.125,81,183
-1,88.1875,82,183
-1,93.1875,78,183
-1,98.625,80,191
-1,104,82,183
-1,109.4375,84,183
-1,115.5,84,191
-1,127.75,208,183
-1,152.25,273,45
-1,177.4375,392,60
-1,185.75,141,159
-1,191.875,368,175
-1,216.6875,134,50
-1,221.75,74,191
-1,226.75,70,191
-1,232.875,58,175
-1,239,67,159
-1,244.4375,67,183
-1,268.1875,498,65
-1,273.9375,453,183
-1,293,245,84
-1,298.0625,217,191
-1,322.875,539,35
-1,347.375,95,65
-1,352.4375,108,191
1515627566006,16.5,189,45
-1,22.625,104,183
-1,27.6875,102,191
-1,37.4375,561,167
-1,62.25,719,60
-1,79.5,92,84
-1,84.5625,79,183
-1,90.3125,80,191
-1,95.375,78,191
-1,100.4375,80,183
-1,105.4375,83,183
-1,110.5,82,191
-1,116.625,84,191
-1,127.4375,252,183
-1,151.875,275,45
-1,177.0625,388,60
-1,183.5625,144,167
-1,199.4375,370,98
-1,216.3125,108,84
-1,221.75,72,191
-1,226.75,67,191
-1,232.875,65,159
-1,239,66,167
-1,244.0625,70,183
-1,257.75,58,159
-1,275.75,459,84
-1,293,233,84
-1,298.0625,215,191
-1,322.1875,1,45
-1,347,95,55
-1,352.0625,109,191
1515627566101,16.5,206,45
-1,21.9375,105,191
-1,27.3125,107,191
-1,37.0625,558,167
-1,61.875,723,65
-1,79.875,90,84
-1,84.9375,79,183
-1,90.3125,78,183
-1,95.375,78,191
-1,100.75,80,191
-1,106.1875,80,183
-1,112.625,84,191
-1,117.6875,86,183
-1,142.5,257,40
-1,152.25,304,191
-1,177.8125,387,55
-1,186.0625,148,159
