TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
1515627527628,305.5625,69,80
-1,309.1875,56,64
-1,312.75,60,80
-1,316,61,80
-1,319.625,65,80
-1,322.875,73,64
-1,326.4375,67,64
-1,329.6875,76,64
-1,332.9375,564,64
-1,336.5625,1,40
-1,339.8125,1,32
-1,343.375,1,32
-1,346.625,482,56
-1,350.25,1,32
-1,353.5,469,56
-1,357.0625,439,80
1515627527628,1.0625,426,40
-1,4.3125,464,64
-1,7.875,447,56
-1,11.125,207,40
-1,14.375,74,72
-1,17.625,77,80
-1,21.25,71,72
-1,24.5,65,72
-1,28.0625,68,72
-1,31.3125,66,72
-1,34.9375,63,80
-1,38.1875,67,80
-1,41.75,60,80
-1,45.375,60,80
-1,48.625,59,80
-1,51.875,69,80
-1,55.125,60,72
-1,58.6875,66,72
-1,61.9375,67,72
-1,65.5625,64,72
-1,68.8125,73,72
-1,72.375,99,64
-1,75.625,107,72
-1,79.25,96,64
-1,82.5,470,64
-1,85.75,475,64
-1,90.0625,502,64
-1,93.6875,504,80
-1,96.875,465,56
-1,100.5,486,64
-1,103.75,486,72
-1,107,1,56
-1,109.875,106,64
-1,113.5,96,64
-1,116.75,94,40
-1,120.3125,1,40
-1,123.5625,574,40
-1,127.1875,629,40
-1,130.4375,631,64
-1,134.375,654,56
-1,137.625,794,48
-1,141.25,741,64
-1,144.5,732,48
-1,148.0625,1,40
-1,151.3125,1,16
-1,154.9375,1,32
-1,158.1875,717,64
-1,161.75,707,32
-1,165,717,56
-1,168.625,750,32
-1,171.875,677,32
-1,175.4375,1,16
-1,178.375,1,24
-1,181.9375,1,24
-1,185.1875,242,80
-1,188.8125,280,48
-1,192.0625,250,80
-1,195.3125,249,80
-1,198.875,254,80
-1,202.125,1,24
-1,205.75,290,56
-1,209,292,40
-1,212.5625,274,40
-1,215.8125,243,40
-1,219.4375,241,48
-1,223.375,507,64
-1,226.625,357,56
-1,229.875,263,80
-1,233.5,332,32
-1,236.75,432,32
-1,240.3125,427,64
-1,243.5625,410,72
-1,247.1875,395,80
-1,250.4375,392,80
-1,254,388,80
-1,257.25,383,72
-1,260.875,366,40
-1,264.125,137,72
-1,267.6875,145,80
-1,270.9375,325,56
-1,274.1875,377,80
-1,277.4375,361,64
-1,280.6875,313,64
-1,284.3125,278,32
-1,287.875,171,64
-1,291.125,120,48
-1,294.375,76,80
-1,298,69,80
-1,301.25,69,80
-1,304.8125,63,72
-1,307.6875,59,64
-1,311.3125,57,72
-1,314.5625,58,72
-1,318.1875,68,72
-1,321.4375,66,72
-1,325,59,40
-1,328.25,71,64
-1,332.25,1,32
-1,335.4375,528,72
-1,338.6875,1,24
-1,342.3125,1,40
-1,345.9375,1,24
-1,349.1875,480,40
-1,352.375,467,40
-1,355.625,455,72
