TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
-1,164.8125,1,24
-1,168.0625,1,24
-1,171.6875,1,24
-1,174.9375,1,24
-1,177.8125,1,40
-1,181.25,1,48
-1,184.4375,44,56
-1,187.875,40,40
-1,191.0625,44,48
-1,194.5,7,48
-1,197.6875,193,64
-1,201.5625,203,88
-1,204.75,200,88
-1,207.9375,198,88
-1,211.5,213,88
-1,214.6875,220,72
-1,217.875,229,80
-1,221.4375,240,64
-1,224.625,200,32
-1,228.1875,1,32
-1,231.375,213,88
-1,234.9375,217,88
-1,238.125,224,88
-1,241.3125,230,88
-1,244.5,240,88
-1,247.6875,251,88
-1,250.875,257,88
-1,254.4375,277,80
-1,257.625,297,40
-1,260.8125,1,24
-1,264,1,32
-1,267.875,1,32
-1,271.375,1,32
-1,274.5,1570,32
-1,277.625,1,32
-1,281.125,73,64
-1,284.25,63,64
-1,287.8125,71,72
-1,291,64,80
-1,294.5625,67,80
-1,297.75,65,80
-1,301.3125,68,80
-1,304.5,66,80
-1,307.6875,68,80
-1,311.25,70,72
-1,314.4375,72,72
-1,317.9375,73,80
-1,321.1875,76,80
-1,324.6875,73,56
-1,327.875,1,24
-1,331.4375,37,32
-1,334.625,38,64
-1,338.125,38,72
-1,341.3125,35,64
-1,344.8125,24,56
-1,348,57,48
-1,351.5,63,80
-1,354.6875,64,80
-1,357.875,64,80
1515534629235,1.75,60,32
-1,4.9375,1,40
-1,8.125,515,48
-1,11.3125,1,24
-1,14.5,1,24
-1,17.6875,1,24
-1,20.9375,1,48
-1,24.4375,103,72
-1,28,102,88
-1,31.1875,109,80
-1,34.375,103,88
-1,37.5625,1,24
-1,40.8125,45,56
-1,44,34,80
-1,47.1875,33,72
-1,50.75,38,72
-1,53.9375,33,72
-1,57.4375,43,72
-1,60.6875,37,80
-1,64.1875,43,72
-1,67.75,48,88
-1,70.875,40,80
-1,74,45,80
-1,77.125,39,64
-1,80.3125,33,64
-1,83.8125,47,72
-1,86.9375,71,72
-1,90.125,1,80
-1,94,62,80
-1,97.1875,61,64
-1,100.75,56,80
-1,103.9375,59,80
-1,107.5,59,80
-1,111.0625,1,32
-1,114.5,48,64
-1,117.6875,50,64
-1,121.1875,55,64
-1,124.3125,37,72
-1,127.8125,45,72
-1,130.9375,39,48
-1,134.5,27,48
-1,137.6875,43,64
-1,140.875,40,56
-1,144.4375,42,40
-1,147.625,52,56
-1,151.1875,315,56
-1,154.375,301,80
-1,157.9375,1,24
-1,161.1875,1,32
-1,164.4375,1,24
-1,168.0625,1,32
-1,171.3125,1,32
-1,174.9375,1,24
-1,177.8125,1,40
-1,181.25,1,48
-1,184.4375,1,40
-1,187.5625,59,40
-1,191.0625,40,48
-1,194.1875,59,48
-1,197.3125,202,56
-1,201.1875,203,88
-1,204.375,202,88
-1,207.9375,201,80
-1,211.125,219,80
-1,214.6875,224,72
-1,217.875,228,80
-1,221.4375,243,64
-1,224.625,1,64
-1,227.8125,1,40
-1,231.375,211,88
-1,234.5625,217,88
-1,238.125,222,88
-1,241.3125,228,88
-1,244.875,239,88
-1,248.0625,248,88
-1,251.25,263,80
-1,254.4375,275,88
-1,257.625,286,48
-1,260.8125,1,24
-1,264.375,1,24
-1,267.5,1,32
-1,270.6875,1,16
-1,273.8125,91,40
-1,277.3125,1,48
-1,280.4375,1,40
-1,283.9375,83,80
-1,287.0625,75,80
-1,290.625,69,88
-1,293.8125,71,80
-1,297.375,69,80
-1,300.5625,70,80
-1,304.125,63,80
-1,307.3125,70,80
-1,310.875,69,80
-1,314.0625,71,80
-1,317.25,77,80
-1,320.8125,75,80
-1,324,81,56
-1,327.1875,1,32
-1,330.75,1,64
-1,333.875,27,56
-1,337.4375,45,64
-1,340.625,40,64
-1,344.125,52,64
-1,347.625,37,48
-1,350.8125,61,80
-1,354,61,80
-1,357.125,64,80
1515534629335,1.0625,60,56
-1,4.25,1,32
-1,7.4375,505,32
-1,11,1,24
-1,14.1875,1,24
-1,17.375,1,24
-1,20.9375,1,40
-1,24.4375,103,72
-1,27.625,103,88
-1,31.1875,109,80
-1,34.375,102,80
-1,37.9375,1,24
-1,41.125,44,64
-1,44.6875,39,80
-1,47.875,40,64
-1,51.4375,29,72
-1,54.625,37,72
-1,58.1875,37,88
-1,61.375,32,72
-1,64.5625,38,72
-1,67.75,44,88
-1,71.1875,39,80
-1,74.375,48,72
-1,77.5,42,72
-1,81.6875,39,64
-1,84.8125,42,64
-1,88.3125,54,64
-1,91.5,58,64
-1,94.75,60,80
-1,98.25,62,72
-1,101.5,56,80
-1,105,57,80
-1,108.1875,54,72
-1,111.75,1,32
-1,114.875,52,64
-1,118,55,72
-1,121.1875,58,64
-1,124.3125,38,64
-1,127.8125,60,64
-1,130.9375,1,48
-1,134.5,22,48
-1,137.6875,39,64
-1,140.875,51,48
-1,144.0625,47,48
-1,147.625,59,48
-1,150.8125,314,64
-1,154.375,303,72
-1,157.9375,1,24
-1,161.5625,1,24
-1,164.8125,1,32
-1,168.0625,1,24
-1,171.6875,1,24
-1,174.9375,1,24
-1,178.125,1,24
-1,181.625,1,40
-1,184.75,44,48
-1,188.25,48,48
-1,191.375,62,48
-1,194.875,22,32
-1,198.75,197,88
-1,201.9375,204,80
-1,205.125,205,80
-1,208.6875,199,80
-1,212.1875,213,80
-1,215.375,219,64
-1,218.625,235,80
-1,222.125,230,48
-1,225.3125,186,40
-1,228.5625,221,64
-1,231.75,216,88
-1,234.9375,219,88
-1,238.5,219,88
-1,241.6875,232,88
-1,245.1875,242,80
-1,248.4375,249,88
-1,251.625,267,80
-1,254.8125,270,80
-1,258.375,274,56
-1,261.5625,1,24
-1,265.0625,1,32
-1,268.1875,1,24
-1,271.6875,1,24
-1,274.875,75,40
-1,278,1,32
-1,281.125,1,32
-1,284.25,1,56
-1,287.8125,68,72
-1,291,66,80
-1,294.1875,67,80
-1,297.75,61,80
-1,300.9375,65,80
-1,304.5,68,80
-1,307.6875,67,80
-1,311.25,76,80
-1,314.4375,73,72
-1,317.9375,78,80
-1,321.1875,78,80
-1,324.6875,60,32
-1,327.875,1,24
-1,331.4375,28,40
-1,334.625,49,72
-1,338.125,50,64
-1,341.3125,42,72
-1,344.8125,39,56
-1,348,58,56
-1,351.5,62,80
-1,354.6875,59,80
-1,358.1875,61,80
1515534629446,2.125,432,40
-1,5.3125,1,40
-1,8.5,528,56
-1,12.0625,1,32
-1,15.25,1,16
-1,18.75,1,24
-1,22.3125,97,48
-1,25.5,100,88
-1,28.6875,100,80
-1,32.25,111,88
-1,35.4375,112,64
-1,39,51,48
-1,42.1875,33,80
-1,45.75,33,72
-1,48.9375,32,64
-1,52.125,34,80
-1,55.6875,33,72
-1,58.875,39,88
-1,62.4375,38,80
-1,65.625,33,72
-1,69.125,44,88
-1,72.9375,44,80
-1,76.125,48,72
-1,79.625,47,64
-1,82.75,42,64
-1,86.25,1,40
-1,89.75,54,56
-1,92.9375,61,72
-1,96.125,61,72
-1,99.3125,61,72
-1,102.875,59,72
-1,106.0625,55,80
-1,109.625,49,64
-1,113.125,45,40
-1,116.25,47,64
-1,119.75,43,72
-1,122.9375,52,56
-1,126.375,43,80
-1,129.5625,50,48
-1,133.4375,60,64
-1,136.625,39,64
-1,140.125,34,56
-1,143.375,51,48
-1,146.875,17,48
-1,150.0625,333,64
-1,153.625,303,80
-1,156.5,301,56
-1,160.125,1,16
-1,163.375,1,32
-1,167,1,24
-1,170.25,1,40
-1,173.8125,1,24
-1,177.0625,1,40
-1,180.5625,1,56
-1,183.75,50,64
-1,186.875,37,40
-1,190.375,57,48
-1,193.5,50,32
-1,197,198,56
-1,200.125,202,88
-1,203.6875,201,80
-1,206.875,198,88
-1,210.0625,207,88
-1,213.25,219,80
-1,216.8125,230,64
-1,220,239,72
-1,223.5625,1,40
-1,226.75,180,40
-1,229.9375,213,72
-1,233.125,217,88
-1,236.3125,221,88
-1,239.5625,229,88
-1,243.0625,233,88
-1,246.625,243,80
-1,249.8125,256,80
-1,253.375,272,88
-1,256.5625,283,80
-1,260.125,1,24
-1,263.3125,1,24
